Target,Model,All_MAE,All_RMSE,All_R2,All_AbsErr_P95,All_AbsErr_P99,Tail_Rate,Tail_MAE,Tail_RMSE,Tail_R2,Tail_AbsErr_P95,Tail_AbsErr_P99,Split
dVIIRS,SVR_RMSE_CL,2.565299698748494,4.634651617806106,-0.08700467886940122,8.82489579967905,18.78482232426065,0.10535900104058273,10.244125508869287,12.49349165625006,-0.0287079634346592,24.042829347654447,39.888611775229506,Random(70/15/15)
dVIIRS,RandomForest,2.391484988376368,4.296007435763646,0.06604215631660071,7.993395799636836,16.834943040212014,0.10535900104058273,9.192805421097166,11.39538914579358,0.1441793507221254,22.029706652323423,38.228876077270336,Random(70/15/15)
dVIIRS,RandomForest_CL,2.634541812202817,4.640832652699112,-0.08990599473926753,8.892440999366842,19.921301778057128,0.10535900104058273,8.736207166219538,11.36528408851843,0.1486952994370644,23.89343116443479,34.99358798671891,Random(70/15/15)
dVIIRS,RandomForest_RMSE_CL,2.4956697729840274,4.436358369147724,0.004020344274017984,8.416035770399926,18.2888285008664,0.10535900104058273,8.887764290738664,11.311633582692766,0.15671359911938165,23.004036149896724,35.99603375600107,Random(70/15/15)
dVIIRS,ExtraTrees,2.4734462748984964,4.413742236475321,0.014149279080532207,8.340089645703618,17.120370348803206,0.10535900104058273,9.271863993349543,11.48465423169253,0.1307187974754671,22.743986719767186,34.60867368164051,Random(70/15/15)
dVIIRS,ExtraTrees_CL,2.4816953017694154,4.425259271947689,0.008997690907351474,8.354217561693032,17.15774295576009,0.10535900104058273,9.25140378765169,11.480355465637206,0.13136942867286472,22.72414208340121,34.390534013804974,Random(70/15/15)
dVIIRS,ExtraTrees_RMSE_CL,2.476221948867633,4.416704096144674,0.012825716871206705,8.33940838379032,17.13475926309495,0.10535900104058273,9.265197275870877,11.482467296691425,0.13104982711675117,22.72510632386334,34.56278502806969,Random(70/15/15)
dVIIRS,MLP,2.4567534833777755,4.423727482604567,0.00968363672711492,8.31627175258396,17.025951642260395,0.10535900104058273,10.319004183213613,12.193161253998765,0.020155691487073968,23.58698634531892,35.48715878321401,Random(70/15/15)
dVIIRS,MLP_CL,4.008728575992187,6.181796495253477,-0.9338671355361285,12.90302360676265,23.09665736162571,0.10535900104058273,10.490339716637251,13.384747534784212,-0.18071425705293054,26.009913862822447,39.85155854466795,Random(70/15/15)
dVIIRS,MLP_RMSE_CL,2.4678513043529486,4.427849894322262,0.007837051915715376,8.358677293491207,16.767686025640142,0.10535900104058273,10.29801661176717,12.17932102037647,0.02237883563882037,23.553970261636824,35.70696334940922,Random(70/15/15)
dWorldPop,XGBoost,10.30801979769492,23.017718733783678,0.8198928685938692,32.37639541625948,95.87923143208076,0.10509885535900104,38.243462371095866,62.821087164348555,0.821698785058347,129.9951006412504,220.7350015258786,Random(70/15/15)
dWorldPop,XGBoost_CL,13.806128224677776,31.368239896838915,0.6655072932983402,49.36666793823242,128.39205718994168,0.10509885535900104,50.27979366879652,85.21463683402152,0.6719260091764999,184.93038940429688,318.7309942626952,Random(70/15/15)
dWorldPop,XGBoost_RMSE_CL,10.182139727803541,22.821422332549236,0.8229516973214184,31.53754653930663,95.72030136585258,0.10509885535900104,36.55188322568883,61.845659784045715,0.8271927891167618,136.13574512004823,210.76314134597777,Random(70/15/15)
dWorldPop,Ridge,21.9044672918871,43.59338596802871,0.35397762983685144,83.05531612357635,166.3169691194395,0.10509885535900104,85.7730619331911,118.48307649703503,0.3657564614266715,208.37483219679225,386.2742372492591,Random(70/15/15)
dWorldPop,Ridge_CL,37.253714008598294,62.96032739792191,-0.3475357843905724,133.62554596542338,256.778824284189,0.10509885535900104,88.21332149544163,124.30749411931949,0.3018672202972805,274.03888977836783,412.19794480260595,Random(70/15/15)
dWorldPop,Ridge_RMSE_CL,21.650502739610683,43.769381372026736,0.3487508517630118,81.21180557727726,165.76279817487577,0.10509885535900104,87.02444214139845,120.29421406907787,0.3462181122551984,209.88352195265645,393.36930399231466,Random(70/15/15)
dWorldPop,ElasticNet,21.251160508120723,46.19736102905782,0.2744945372494766,78.17425424532678,185.80173913034864,0.10509885535900104,96.643038573934,131.78907344911943,0.21530259576862776,228.17670240166103,425.08910470383364,Random(70/15/15)
dWorldPop,ElasticNet_CL,35.98571829110036,65.80444966973901,-0.4720307228836538,146.81888629721425,286.5634361493197,0.10509885535900104,92.3121173354887,129.99146071606717,0.23656326309000686,281.83169044737264,412.7092304433434,Random(70/15/15)
dWorldPop,ElasticNet_RMSE_CL,21.1294361026959,44.60788710753323,0.3235594134999863,84.18604372030384,172.78033901262913,0.10509885535900104,90.01747085665806,123.28983053452039,0.31325118626456583,212.00452663793507,386.50575844839256,Random(70/15/15)
dWorldPop,SVR,16.8298303051216,40.59710815855015,0.4397310574020159,64.66316052005351,159.32380961498544,0.10509885535900104,81.74899649779036,117.76566676188594,0.37341384106758946,255.60032920810795,436.4448308696882,Random(70/15/15)
dWorldPop,SVR_CL,25.81126524944004,46.663874831435706,0.2597678417158593,103.58165380754399,189.51223359943694,0.10509885535900104,79.61067443562197,106.8073165291298,0.484598813184711,205.9058623317127,321.8233386943268,Random(70/15/15)
dWorldPop,SVR_RMSE_CL,17.382437804919515,37.54671441418323,0.5207631221117941,63.45665319816365,151.95986625874855,0.10509885535900104,71.16788977176705,104.62206863174696,0.5054729951281485,215.16463650598624,391.17164303076765,Random(70/15/15)
dWorldPop,RandomForest,9.245186642668457,25.20895274050492,0.7839690578767152,36.30378767903645,109.42171365560013,0.10509885535900104,42.3627773030599,71.41720731299849,0.7695646335883316,146.35258886718748,291.0375901855462,Random(70/15/15)
dWorldPop,RandomForest_CL,9.177331871150738,25.697367147121604,0.7755169210419659,35.69813233454555,108.35046239900416,0.10509885535900104,38.99883628245289,71.53683976012331,0.7687919728442036,153.28880364446348,290.44194948457005,Random(70/15/15)
dWorldPop,RandomForest_RMSE_CL,8.984658093300297,25.02448016429874,0.7871192063444106,34.27360147018805,101.39407356419011,0.10509885535900104,39.6374405079581,70.40606911314055,0.776043536006614,150.76446554781364,293.94990436738965,Random(70/15/15)
dWorldPop,ExtraTrees,6.801894700772396,21.499126546518823,0.8428740257583622,25.65886482747395,90.83516321614621,0.10509885535900104,32.358523475470705,62.03323971053152,0.8261429394698233,124.58750347900383,207.34056177164675,Random(70/15/15)
dWorldPop,ExtraTrees_CL,6.828466258931002,21.510201834105374,0.8427120969856045,25.90249577525072,90.96049575032518,0.10509885535900104,32.50164270597381,62.06634929390731,0.825957301219773,124.82776299431731,207.78341533305164,Random(70/15/15)
dWorldPop,ExtraTrees_RMSE_CL,6.813478855095878,21.503589993535783,0.8428087769436629,25.790748722691113,90.83253544925465,0.10509885535900104,32.44395483981977,62.04997869312589,0.8260491000068189,124.66937250653919,207.5121932680752,Random(70/15/15)
dWorldPop,MLP,13.425396225281672,26.23900065478824,0.7659541567997252,40.550127980045566,90.57232198792252,0.10509885535900104,40.40007593024103,68.01139367598294,0.7910190228695864,151.77607360024246,228.40102202871972,Random(70/15/15)
